Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,5,6
Proceso 2,14,18
Proceso 3,23,24
Proceso 4,33,35
Proceso 5,35,40
Proceso 6,40,41
Proceso 7,41,44
Proceso 8,50,53
Proceso 9,58,61
Proceso 10,62,64
Proceso 11,71,74
Proceso 13,76,82
Proceso 12,75,83
Proceso 14,83,86
Proceso 15,88,89
Proceso 16,89,91
Proceso 17,97,100
Proceso 18,99,103
Proceso 19,107,111
Proceso 20,116,118
Proceso 21,119,120
Proceso 22,128,131
Proceso 23,137,140
Proceso 24,146,147
