Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,1
Proceso 1,1,2
Proceso 2,2,3
Proceso 3,3,5
Proceso 4,4,6
Proceso 5,5,6
Proceso 6,6,7
Proceso 7,7,9
Proceso 8,8,11
Proceso 9,9,11
Proceso 10,10,12
Proceso 11,11,12
Proceso 12,12,13
Proceso 13,13,14
Proceso 14,14,15
Proceso 15,15,17
Proceso 16,16,18
Proceso 17,17,18
Proceso 18,18,20
Proceso 19,19,20
Proceso 20,20,21
Proceso 21,21,23
Proceso 22,22,24
Proceso 23,23,25
Proceso 24,24,25
Proceso 25,25,26
Proceso 26,26,27
Proceso 27,27,28
Proceso 28,28,30
Proceso 29,29,31
Proceso 30,30,31
Proceso 31,31,32
Proceso 32,32,33
Proceso 33,33,34
Proceso 34,34,36
Proceso 35,35,36
Proceso 36,36,37
Proceso 37,37,38
Proceso 38,38,40
Proceso 39,39,41
Proceso 40,40,41
Proceso 41,41,42
Proceso 42,42,44
Proceso 43,43,44
Proceso 44,44,46
Proceso 45,45,47
Proceso 47,47,48
Proceso 46,46,49
Proceso 48,48,50
Proceso 49,49,50
Proceso 50,50,51
Proceso 51,51,53
Proceso 52,52,53
Proceso 53,53,54
Proceso 54,54,55
Proceso 55,55,56
Proceso 56,56,58
Proceso 57,57,59
Proceso 58,58,60
Proceso 59,59,60
Proceso 60,60,61
Proceso 61,61,62
Proceso 62,62,63
Proceso 63,63,64
Proceso 64,64,65
Proceso 65,65,66
Proceso 66,66,67
Proceso 67,67,68
Proceso 68,68,70
Proceso 69,69,70
Proceso 70,70,71
Proceso 72,72,73
Proceso 71,71,74
Proceso 73,73,74
Proceso 74,74,75
Proceso 75,75,77
Proceso 76,76,77
Proceso 77,77,78
Proceso 78,78,79
Proceso 79,79,80
Proceso 80,80,81
Proceso 81,81,82
Proceso 82,82,83
Proceso 83,83,84
Proceso 84,84,85
Proceso 85,85,86
Proceso 86,86,87
Proceso 87,87,89
Proceso 88,88,91
Proceso 89,89,91
Proceso 90,90,92
Proceso 91,91,92
Proceso 92,92,94
Proceso 93,93,95
Proceso 94,94,95
Proceso 95,95,97
Proceso 96,96,97
Proceso 97,97,98
Proceso 98,98,99
Proceso 99,99,100
Proceso 100,100,102
Proceso 101,101,103
Proceso 102,102,104
Proceso 103,103,104
Proceso 104,104,105
Proceso 105,105,107
Proceso 106,106,107
Proceso 107,107,108
Proceso 108,108,109
Proceso 109,109,110
Proceso 110,110,112
Proceso 111,111,113
Proceso 112,112,114
Proceso 113,113,114
Proceso 114,114,116
Proceso 115,115,117
Proceso 116,116,117
Proceso 117,117,118
Proceso 118,118,119
Proceso 119,119,120
Proceso 120,120,121
Proceso 121,121,123
Proceso 122,122,124
Proceso 123,123,125
Proceso 124,124,126
Proceso 125,125,126
Proceso 126,126,128
Proceso 127,127,128
Proceso 128,128,129
Proceso 129,129,130
Proceso 130,130,131
Proceso 131,131,132
Proceso 132,132,134
Proceso 133,133,134
Proceso 134,134,135
Proceso 135,135,136
Proceso 136,136,137
Proceso 137,137,138
Proceso 138,138,139
Proceso 139,139,141
Proceso 140,140,142
Proceso 141,141,142
Proceso 142,142,144
Proceso 143,143,144
Proceso 144,144,146
Proceso 145,145,146
Proceso 146,146,147
Proceso 147,147,149
Proceso 148,148,149
Proceso 149,149,151
